Time,Latitude,Longitude,Altitude 
1656324365,50.912012,8.023508,340 
1656324365,50.911945,8.023523,342 
1656324365,50.911856,8.023528,344 
1656324365,50.911744,8.023499,344 
1656324365,50.911639,8.023462,347 
1656324365,50.911536,8.023473,352 
1656324365,50.911410,8.023437,351 
1656324365,50.911266,8.023474,349 
1656324365,50.911119,8.023492,354 
1656324435,50.910990,8.023501,356 
1656324435,50.910867,8.023525,358 
1656324435,50.910736,8.023502,358 
1656324435,50.910667,8.023479,357 
1656324435,50.910602,8.023457,352 
1656324435,50.910515,8.023460,346 
1656324435,50.910420,8.023448,341 
1656324435,50.910334,8.023427,337 
1656324435,50.910245,8.023418,338 
1656324435,50.910146,8.023390,342 
1656324435,50.910015,8.023339,342 
1656324545,50.909878,8.023281,342 
1656324545,50.909703,8.023314,344 
1656324545,50.909549,8.023225,346 
1656324545,50.909399,8.023129,348 
1656324545,50.909258,8.023136,345 
1656324545,50.909155,8.023183,343 
1656324545,50.909052,8.023282,341 
1656324545,50.908949,8.023378,340 
1656324545,50.908845,8.023456,341 
1656324545,50.908788,8.023619,341 
1656324545,50.908731,8.023782,338 
1657009987,50.908644,8.023931,334 
1657009997,50.908581,8.024079,335 
1657010007,50.908552,8.024200,336 
1657010017,50.908586,8.024339,335 
1657010027,50.908574,8.024523,332 
1657010037,50.908547,8.024736,329 
1657010047,50.908487,8.024911,328 
1657010057,50.908407,8.025080,330 
1657010067,50.908297,8.025189,333 
1657010077,50.908189,8.025285,334 
1657010087,50.908088,8.025361,332 
1657010097,50.907982,8.025451,332 
1657010107,50.907862,8.025534,335 
1657010117,50.907782,8.025615,332 
1657010127,50.907688,8.025599,328 
1657010137,50.907568,8.025657,330 
1657010147,50.907439,8.025718,330 
1657010157,50.907367,8.025778,329 
1657010167,50.907291,8.025834,331 
1657010177,50.907205,8.025891,331 
1657010187,50.907118,8.025955,333 
1657010197,50.906986,8.026052,335 
1657010207,50.906871,8.026206,337 
1657010217,50.906800,8.026302,341 
1657010227,50.906699,8.026436,347 
1657010237,50.906598,8.026641,349 
1657010247,50.906525,8.026773,345 
1657010257,50.906487,8.026909,341 
1657010267,50.906402,8.027042,336 
1657010277,50.906331,8.027195,332 
1657010287,50.906274,8.027335,330 
1657010297,50.906225,8.027481,327 
1657010307,50.906132,8.027595,324 
1657010317,50.906049,8.027697,325 
1657010327,50.906039,8.027820,326 
1657010337,50.905994,8.027939,327 
1657010347,50.905954,8.028048,323 
1657010357,50.905907,8.028177,321 
1657010367,50.905838,8.028309,320 
1657010377,50.905823,8.028454,317 
1657010387,50.905775,8.028589,317 
1657010397,50.905687,8.028689,315 
1657010407,50.905602,8.028779,317 
1657010417,50.905519,8.028892,320 
1657010427,50.905437,8.028978,327 
1657010437,50.905381,8.028999,323 
1657010447,50.905396,8.028804,284 